# chain_name assemble_seq charge_per_mon
AH6f0.67_a0 HUDDdt 0.6666666666666666
AH6f0.67_a1 HUDUut 0.6666666666666666
AH6f0.67_a2 HudUDT 0.6666666666666666
AH6f0.67_a3 HuDDDt 0.6666666666666666
AH6f0.67_a4 HUdDuT 0.6666666666666666
AH6f0.67_a5 HudDDT 0.6666666666666666
AH6f0.67_a6 HUDDut 0.6666666666666666
AH6f0.67_a7 HUuUdT 0.6666666666666666
AH6f0.67_a8 HuuUUT 0.6666666666666666
AH6f0.67_a9 HUddUT 0.6666666666666666
AH6f0.67_a10 HUudUT 0.6666666666666666
AH6f0.67_a11 HuuDDT 0.6666666666666666
AH6f0.67_a12 HuDuDT 0.6666666666666666
AH6f0.67_a13 HUUuDt 0.6666666666666666
AH6f0.67_a14 HuUDuT 0.6666666666666666
AH6f0.67_a15 hUDDdT 0.6666666666666666
AH6f0.67_a16 HUDuuT 0.6666666666666666
AH6f0.67_a17 HuDUDt 0.6666666666666666
AH6f0.67_a18 HUdUdT 0.6666666666666666
AH6f0.67_a19 huDUDT 0.6666666666666666
AH6f0.67_a20 hUDDuT 0.6666666666666666
AH6f0.67_a21 HUUdUt 0.6666666666666666
AH6f0.67_a22 HUUduT 0.6666666666666666
AH6f0.67_a23 HUduDT 0.6666666666666666
AH6f0.67_a24 HuUdDT 0.6666666666666666
AH6f0.67_a25 HUUuUt 0.6666666666666666
AH6f0.67_a26 HuDUuT 0.6666666666666666
